id,state,abbr,divorced,smoker
1,Alabama,AL,12.1,21.1
2,Alaska,AK,12.3,19.9
4,Arizona,AZ,11.8,16.5
5,Arkansas,AR,12.6,24.7
6,California,CA,9.6,12.9
8,Colorado,CO,11.7,15.7
9,Connecticut,CT,10.8,15.4
10,Delaware,DE,11.5,19.9
11,District of Columbia,DC,9.1,16.4
12,Florida,FL,12.5,17.7
13,Georgia,GA,11.2,17.4
15,Hawaii,HI,9.7,14.1
16,Idaho,ID,12.3,15.9
17,Illinois,IL,9.6,16.5
18,Indiana,IN,12.2,22.9
19,Iowa,IA,11,18.5
20,Kansas,KS,11.5,18.1
21,Kentucky,KY,13.8,26.2
22,Louisiana,LA,11.9,24
23,Maine,ME,13.7,19.3
24,Maryland,MD,9.4,14.6
25,Massachusetts,MA,9.9,14.7
26,Michigan,MI,11.9,21.2
27,Minnesota,MN,10.3,16.3
28,Mississippi,MS,12.5,23
29,Missouri,MO,12.1,20.6
30,Montana,MT,12.7,19.9
31,Nebraska,NE,10.4,17.3
32,Nevada,NV,14,17
33,New Hampshire,NH,11.7,17.5
34,New Jersey,NJ,8.4,15.1
35,New Mexico,NM,12.6,19.2
36,New York,NY,9.3,14.4
37,North Carolina,NC,10.4,19.1
38,North Dakota,ND,9.1,19.9
39,Ohio,OH,11.5,21
40,Oklahoma,OK,12.8,21.1
41,Oregon,OR,12.5,17
42,Pennsylvania,PA,9.6,19.9
44,Rhode Island,RI,11.4,16.3
45,South Carolina,SC,10.4,21.5
46,South Dakota,SD,10.7,18.6
47,Tennessee,TN,11.9,24.2
48,Texas,TX,10.1,14.5
49,Utah,UT,9.3,9.7
50,Vermont,VT,12.5,16.4
51,Virginia,VA,10.3,19.5
53,Washington,WA,11.7,15.3
54,West Virginia,WV,13.5,26.7
55,Wisconsin,WI,10.6,17.4
56,Wyoming,WY,11.9,19.5
72,Puerto Rico,PR,12.7,11.3
